iter	Passed	Remaining
0	1	140
1	3	149
2	3	112
3	3	91
4	4	80
5	4	72
6	5	67
7	5	63
8	6	60
9	6	58
10	6	56
11	7	54
12	7	52
13	8	50
14	8	48
15	9	47
16	9	46
17	9	44
18	10	43
19	10	42
20	11	41
21	11	40
22	11	39
23	12	38
24	12	38
25	13	37
26	13	36
27	13	35
28	14	35
29	14	34
30	15	33
31	15	33
32	15	32
33	16	31
34	16	31
35	17	30
36	17	30
37	18	29
38	18	28
39	18	28
40	19	27
41	19	26
42	19	26
43	20	25
44	20	25
45	21	24
46	21	24
47	21	23
48	22	23
49	22	22
50	23	22
51	23	21
52	23	21
53	24	20
54	24	20
55	25	19
56	25	19
57	25	18
58	26	18
59	26	17
60	27	17
61	27	16
62	27	16
63	28	15
64	28	15
65	29	14
66	29	14
67	30	14
68	30	13
69	31	13
70	31	12
71	32	12
72	32	12
73	32	11
74	33	11
75	33	10
76	34	10
77	34	9
78	35	9
79	35	8
80	36	8
81	36	8
82	37	7
83	37	7
84	37	6
85	38	6
86	38	5
87	39	5
88	39	4
89	40	4
90	40	4
91	40	3
92	41	3
93	41	2
94	42	2
95	42	1
96	42	1
97	43	0
98	43	0
99	44	0
